timestamp,date,open,high,low,close,volume
1647229500,2022-03-14,3580.00,3648.35,3580.00,3643.00,1765688
1647315900,2022-03-15,3659.00,3659.00,3585.40,3593.90,3651133
1647402300,2022-03-16,3640.50,3668.00,3616.25,3655.90,3090475
1647488700,2022-03-17,3696.60,3710.00,3660.30,3672.75,3600452
1647834300,2022-03-21,3696.00,3713.95,3615.00,3626.70,2413831
1647920700,2022-03-22,3640.00,3711.00,3625.00,3700.95,2907611
1648007100,2022-03-23,3708.00,3729.80,3690.00,3712.40,1596195
1648093500,2022-03-24,3700.00,3758.20,3695.00,3749.85,1879046
1648179900,2022-03-25,3759.90,3779.50,3672.00,3707.45,1690133
1648439100,2022-03-28,3695.00,3713.00,3661.20,3707.70,1760990
1648525500,2022-03-29,3694.75,3722.00,3691.00,3705.35,2689063
1648611900,2022-03-30,3738.00,3738.00,3706.20,3731.55,1583455
1648698300,2022-03-31,3740.00,3754.65,3720.20,3739.95,2168110
1648784700,2022-04-01,3748.00,3763.00,3728.05,3758.75,1387014
1649043900,2022-04-04,3762.00,3780.00,3737.10,3770.35,1472994
1649130300,2022-04-05,3772.00,3835.60,3772.00,3814.80,2314947
1649216700,2022-04-06,3809.30,3809.30,3731.15,3755.35,2051729
1649303100,2022-04-07,3745.50,3745.50,3679.00,3684.15,2494829
1649389500,2022-04-08,3690.00,3705.00,3642.50,3685.65,2296773
1649648700,2022-04-11,3690.00,3712.35,3656.10,3696.40,2291660
1649735100,2022-04-12,3683.00,3739.00,3648.35,3691.10,4483476
1649821500,2022-04-13,3707.00,3709.85,3655.55,3661.95,1621672
1650253500,2022-04-18,3610.00,3610.00,3522.50,3528.05,3820792
1650339900,2022-04-19,3550.00,3563.55,3439.15,3471.90,3170014
1650426300,2022-04-20,3500.00,3569.15,3480.00,3556.80,2640370
1650512700,2022-04-21,3580.00,3644.00,3567.40,3628.65,2280996
1650599100,2022-04-22,3581.10,3617.00,3571.50,3612.55,1581465
1650858300,2022-04-25,3558.00,3584.00,3533.10,3548.20,1960694
1650944700,2022-04-26,3575.15,3587.90,3518.15,3546.30,1943469
1651031100,2022-04-27,3546.00,3568.45,3506.30,3561.20,1727648
1651117500,2022-04-28,3588.00,3604.40,3538.05,3584.30,1703660
1651203900,2022-04-29,3597.00,3623.25,3536.85,3546.70,2051115
1651463100,2022-05-02,3519.90,3547.95,3492.75,3542.40,1324161
1651635900,2022-05-04,3538.50,3545.45,3465.30,3479.75,2305825
1651722300,2022-05-05,3512.10,3533.00,3485.35,3513.40,1612262
1651808700,2022-05-06,3459.00,3474.50,3424.50,3432.60,2010812
1652067900,2022-05-09,3398.00,3456.00,3346.85,3445.10,2481830
1652154300,2022-05-10,3434.00,3464.80,3422.00,3438.75,1622685
1652240700,2022-05-11,3435.00,3448.45,3382.15,3412.00,1841769
1652327100,2022-05-12,3378.00,3449.70,3350.10,3408.65,2807195
1652413500,2022-05-13,3435.00,3439.90,3382.15,3414.90,2187823
